github_number,additions,deletions,changed_files
2697,84,0,3
3472,3,2,1
2463,3,2,1
2351,49,22,4
2467,26,10,4
2357,10,1,2
2291,10,6,1
6688,1,4,1
2226,2,2,1
2586,2,2,1
2387,2,1,2
2824,15,8,1
2315,8,2,1
2516,101,110,7
2399,24,22,1
2324,5,1,2
2325,26,19,8
2349,11,7,2
2493,4,0,1
3975,51,6,3
2435,50,5,3
2532,139,168,5
4280,5,1,2
2565,30,2,2
2596,2,2,1
8801,12,12,3
8507,150,7,4
4525,2,0,2
2345,52,26,1
4314,30,14,2
4312,3,3,2
2343,2,0,2
2422,3,3,1
4295,6,4,2
4291,39,14,2
2501,6,0,1
2433,9,0,1
4221,4,0,1
2620,19,18,2
4306,0,1,1
4281,122,9,2
2432,7,3,1
2663,1,1,1
4274,4,1,1
4222,9,4,2
4230,6,4,1
3831,1,1,1
2358,22,1,2
2985,1,1,1
2614,1,1,1
2356,9,5,2
2347,6,2,3
2400,3,0,1
2334,20,9,3
4299,9,1,2
4332,3,0,1
2331,1,1,1
4289,4,0,1
2344,1,15,2
2434,42,13,17
2411,14,14,1
2330,62,48,5
2415,23,31,2
2452,15,3,3
2615,14,4,2
4223,1,4,1
2581,45,33,4
4219,177,150,2
4283,1,0,1
2380,6,0,1
2342,25,13,3
2340,5,0,1
2336,1,6,6
2329,1,1,1
2333,1,1,1
2363,6,0,1
2364,1,1,1
2361,10,0,2
2563,297,269,13
2417,6,2,2
2425,38,23,2
2673,1,1,1
4288,55,40,2
2489,12,9,1
2577,120,107,5
2491,20,20,1
2598,8,1,2
4290,141,69,13
2440,1,1,1
2444,68,2,2
4334,2,3,2
2360,3,3,1
2414,8,8,2
2376,197,235,2
2727,179,180,4
2384,107,47,4
2464,0,5,1
2368,22,7,5
2370,11,10,1
2403,2,0,2
2456,5,1,2
2391,28,8,3
2429,1,1,1
4353,151,138,10
2922,25,8,5
2465,6,5,1
2436,11,1,1
4315,25,20,4
2412,11,6,2
2431,17,17,7
4218,2,5,2
4233,3,3,1
2409,1,1,1
4331,10,2,2
2386,51,6,2
4296,18,4,2
2418,1,1,1
3851,31,27,3
2496,1350,1240,16
2546,58,69,5
2617,96,64,2
2488,1694,1248,1
2484,2,2,1
2402,2,2,1
2423,1,157,6
2553,4,5,1
2311,5,12,5
2770,1,1,1
2483,16,0,3
2413,73,73,5
2441,3,2,2
4244,56,64,3
2437,64,51,3
2665,9,0,1
2584,243,54,1
2674,20,10,2
2587,8,9,2
2458,17,101,7
2442,40,40,1
2443,11,11,2
4630,3,2,3
2457,174,18,3
2448,62,411,105
2451,4,0,1
2608,28,4,2
2450,82,3,2
3268,7,12,13
2453,3,3,1
2656,315,425,151
2544,0,10,2
2469,3,3,1
2470,26,1,1
2515,3,0,1
2475,2,2,2
2477,5,5,2
4771,2,6,1
