github_number,additions,deletions,changed_files
8010,171,0,4
8565,270,40,6
8001,6330,7,43
8004,2,0,2
8003,142,75,4
8011,9,1,1
8058,7372,19,48
8008,62,19,5
8009,2228,81,27
8022,2,70,3
8024,3,3,1
8027,6,0,1
8015,432,1,5
8295,769,528,48
8035,2012,22,39
8020,8,14,2
8019,701,0,8
8387,903,0,9
8089,7,12,1
8331,2,2,1
8028,0,54,1
8032,184,59,8
8043,1,1,1
135,643,687,37
8047,12,2,1
8045,40,2,2
8046,4,1,1
8048,1,1,1
335,7714,0,48
326,7873,0,48
8056,8941,104,73
8049,2,1,1
8053,48,107,3
8109,7573,218,84
8051,9573,288,67
175,91,13,5
8084,34,1,1
8060,413,101,9
8065,384,52,9
8061,413,101,9
8055,26,25,13
8070,12,62,1
8057,614,26,9
8087,1155,20,13
174,1,1,1
12255,38,48,2
9175,33,4,1
10168,4,8,1
8279,0,51,4
10802,0,59,6
8066,1722,1,6
8068,31,13,3
8075,42,0,17
8077,8,0,1
8083,4,0,1
8082,2,1,1
8071,2,1,1
8079,3,2,1
8072,0,84,2
8074,0,116,1
8073,11,13,3
8086,867,0,13
8076,24,9,4
8196,10,1,1
8078,14,16,5
8090,951,908,25
8430,0,0,0
211,237,49,14
8290,1648,1924,25
8085,1,1,1
8088,1115,6,8
8096,139,11,5
8098,104,7,3
8097,139,11,5
8092,5506,38,34
8093,1984,2,11
8095,139,80,27
8094,3364,1,21
201,496,4,7
8099,2724,108,18
8100,3,3,3
8102,2168,3,22
8629,2942,304,23
212,4903,405,98
8103,1,1,1
8106,1,2,1
8104,1,1,1
8107,2567,66,17
8110,4985,198,56
8115,21,1,2
8114,34,0,2
8543,43,8,3
8151,2,0,1
179,95,94,3
8412,2,3,2
8113,20,18,1
8117,768,6,17
8537,1025,14,29
8141,21,1,2
8123,17,0,1
180,15,15,14
8120,2094,22,34
8122,274,192,22
9929,1281,171,42
9928,1281,171,43
8131,131,65,11
8445,474,405,35
181,1,0,1
8158,308,338,11
8126,1,1,2
8129,1,1,1
8202,7339,1865,133
8128,7,7,1
8224,33,4,5
8127,2164,99,25
8344,133,8,4
8133,53,79,3
8513,136,16,4
10020,1,1,1
8142,1,1,1
186,81,24,3
8140,3,1294,20
8438,22,1,3
8136,87,215,15
8135,12,2542,11
8138,12,2542,11
8139,0,175,4
8137,12,2717,14
8144,35,36,3
8148,11761,119,57
8388,1,1,1
8154,54,45,1
8156,1167,67,26
8155,5,3,1
182,2,0,2
8157,2573,21,26
8556,90,40,4
8162,330,126,16
8357,103,2,2
13021,213,175,5
8160,0,310,2
8676,1,888,2
9206,4,667,8
183,207,209,49
8227,9,13,1
8226,355,321,1
8386,331,378,1
8163,23,2,5
8164,2,2,2
8313,44,9,2
8165,3319,280,32
8167,4,3,1
8173,10,10,4
189,6970,62,70
8174,14,2,1
8176,7027,639,43
8177,58,41,1
8189,2,7,1
8187,759,195,10
8186,51,0,2
8181,286,521,33
185,15,6,3
8179,80,2,3
8320,193,118,18
8210,65,58,10
8182,30,2,3
7965,76,69,1
8180,16,16,2
231,10,6,3
197,510,181,32
8184,1134,19,12
8185,8,12,1
8191,285,354,14
8190,233,21,17
