github_number,additions,deletions,changed_files
4515,99,58,8
13589,135,14,4
13234,1,43,1
13089,4,0,2
13092,4,0,2
13070,2,0,1
13504,533,12,7
13071,0,1,1
4472,19,8,1
13078,8,8,1
13079,49,2,4
13075,49,2,4
4470,1,1,3
13088,1,1,1
13503,16,13,8
13091,1,1,1
13096,47,4,3
13093,47,4,3
13097,1,1,1
13211,70,11,8
13154,1,1,1
13433,17,7,6
13704,27,9,8
4478,18,2,2
13107,4,4,1
13113,249,149,10
13109,1,1,1
13110,1,1,1
13112,152,104,5
4487,167,143,3
13114,78,33,2
13116,1,1,1
13119,1,1,1
13117,1,1,1
13118,1,1,1
13269,163,8,9
13120,1,1,1
13323,24,0,1
13326,3,1,1
13128,312,92,63
13143,1515,679,61
13126,4,10,1
13148,4,10,1
13221,407,226,3
4490,56,2,2
13133,1042,0,9
13127,3,0,1
13135,29,9,5
13144,69,52,6
13134,2,0,1
13140,76,14,4
13539,77,14,4
13136,1,1,1
13137,110,78,8
13149,65,24,3
13315,311,112,6
13153,98,7,6
13257,14810,57,47
13516,3687,26,62
13784,10,1,2
13158,0,7,1
13157,0,7,1
13159,1,1,1
13291,1,1,1
13161,28,56,3
13162,28,56,3
4493,203,35,12
13176,3,3,3
4496,36,13,9
13172,4,3,1
13171,4,3,1
13178,4,2,2
13170,4,2,2
13185,1,1,1
13186,1,1,1
13182,34,0,2
13501,491,10,11
13195,5,5,1
13330,485,0,11
13207,125,0,3
13532,1405,2,16
13300,65,16,5
13249,314,6,5
13197,1,1,1
4506,207,28,14
13200,48,0,3
13199,20,1,1
4829,1005,77,16
13205,5,5,3
13246,14,30,7
13206,546,16,8
13241,124,0,1
13212,30,2,2
13215,7,7,5
13214,1,1,1
13227,1,11,2
13216,1,1,1
13217,1,1,1
13218,1,1,1
13223,50,26,23
13285,37,26,4
13222,5,7,1
13224,19,2,4
13232,126,0,3
13229,703,0,9
13236,105,42,3
13265,1,1,1
13244,2,3,1
13245,2,3,1
4503,2,0,1
5259,1,1,1
13248,5,1,2
13254,1,1,1
13250,1,1,1
13258,1,1,1
13270,1,1,1
13253,2,14,5
13322,24,5,3
13316,41,21,8
13262,85,1,3
13500,10306,570,271
13601,854,401,42
13277,95,54,21
13415,1008,536,60
13419,854,285,36
13273,111,160,5
13272,1,1,1
13310,221,0,5
4504,3,0,1
13275,1,1,1
13274,12,0,1
13286,2,2,1
13279,1,1,1
13280,1,1,1
4534,37,5,2
13284,6,0,1
13290,2,1,2
13289,157,143,27
13288,10,1,2
13225,1639,752,8
13295,2,1,2
13297,1,1,1
13301,231,398,47
4572,9,18,8
13343,209,5,5
13520,209,5,5
13302,51,0,3
13303,1,1,1
13305,1,1,1
13308,1,1,1
13312,172,6,8
13311,172,6,8
13319,24,0,10
13317,18,6,2
13318,3,0,1
13656,223,13,7
13320,1,1,1
13321,1,1,1
13325,71,27,11
13324,933,114,16
13511,3539,13,13
13641,2437,233,49
13464,3264,1306,116
13339,1,1,1
