github_number,additions,deletions,changed_files
3667,510,18,13
3679,1,1,1
3696,59,26,3
3827,188,0,2
3883,52,43,2
3733,26,19,4
3668,102,38,1
3689,18,59,2
3695,59,18,2
3687,59,18,2
3670,12,11,1
3673,1,1,1
3672,33,15,3
3676,79,55,8
3674,8,7,1
3801,1,1,1
3680,12,7,1
3681,20,23,2
3715,2,7,1
3694,10,4,2
3685,30,20,4
3683,31,24,12
3745,189,147,29
3686,14,1,1
3684,0,14,1
3707,130,47,3
3688,11,4,2
3693,117,0,1
3709,19,10,4
3708,5,4,1
3698,21,20,3
3704,29,53,3
3749,15,14,2
3766,1,1,1
3700,13,33,7
3701,13,38,7
3847,374,131,18
4307,406,150,5
3702,125,83,23
3703,39,18,8
4229,12,0,1
4232,12,0,1
3783,12,0,1
3713,16,6,1
3705,17,6,1
3714,4,2,2
3706,12,6,2
3712,6,12,2
3710,1,1,1
3717,2,3,1
3711,42,7,3
3720,8,1,1
3719,5,1,2
3725,30,24,6
3727,7,7,1
3726,26,23,8
3722,197,78,9
3723,148,62,6
3781,21,2,1
3782,11,9,2
3724,7,0,1
3729,7,5,1
3728,3,4,1
3764,491,414,15
3744,407,328,13
3763,328,407,13
3819,1,1,1
3732,0,18,1
3734,21,21,6
3736,17,7,1
3735,77,85,1
3786,31,8,4
3737,1,1,1
3743,0,1,1
3738,306,249,5
3739,20,10,1
3740,85,11,5
3759,85,29,4
3741,5,6,4
3742,16,2,3
3747,32,18,5
3746,29,49,7
3750,2,2,1
3776,58,61,5
3755,13,1,2
3751,29,0,1
3752,37,21,1
3838,6,6,1
3753,7,7,1
3754,17,0,1
3756,3,2,1
3758,106,30,14
3761,32,45,8
3760,83,11,12
4085,2,18,1
4088,63,54,1
3762,28,19,3
3771,113,322,40
3765,120,337,42
3770,337,121,42
3769,31,5,1
3768,2,1,1
3767,2,1,1
3784,5,0,1
4233,5,0,1
4086,5,0,1
3772,28,6,2
3775,99,40,1
3773,2,2,2
3777,790,245,36
3779,39,73,4
3833,58,54,5
3774,107,84,10
3789,547,582,28
4019,8,0,1
3792,410,193,9
5526,62,2,4
3780,8,19,5
3798,97,5,6
3835,7,4,1
4223,83,0,1
4277,345,320,5
3802,43,12,4
3881,20,27,4
3785,3,1,1
3788,447,338,22
3790,23,14,2
3791,3,1,1
3852,144,13,10
3793,55,21,1
3795,24,35,1
3794,7,6,1
3811,58,0,1
3824,11,6,3
3796,20,5,3
4365,36,2,2
4356,29,1,2
4364,1,29,2
3797,7,0,1
3799,7,6,2
3805,1,2,1
3803,14,9,1
3800,40,11,7
3804,63,41,8
3810,21,10,3
3814,3,3,1
3807,13,34,4
3816,8,9,1
3806,17,7,4
3809,18,4,1
3897,163,50,4
3905,15,14,1
3813,607,485,22
3841,55,45,1
3812,288,172,18
3854,1,1,1
3843,114,52,4
3820,2804,1296,127
3815,8,1,1
3817,36,26,6
3818,40,8,1
3860,55,28,3
3825,28,10,1
3851,90,57,11
3834,7,0,1
3823,19,12,4
3826,22,0,2
3829,40,2,2
3837,181,105,21
3874,11,11,1
3830,49,7,2
3831,65,37,15
3832,77,63,9
3878,25,3,7
3880,15,12,2
3885,9,0,1
3856,4,0,2
3855,57,11,5
3926,737,318,18
3928,247,179,11
3840,17,7,3
3842,224,208,25
3845,30,14,1
3846,69,35,6
3875,1076,0,5
3848,126,48,4
3973,37,38,7
3849,2,1,1
3850,35,39,1
3858,226,87,26
3859,34,24,7
5375,7,2,1
3861,683,682,680
3864,116,125,22
3862,21,14,2
3865,130,129,21
3869,7,3,1
3866,5,3,1
3867,24,0,4
3938,12,4,1
3890,295,38,6
3873,4,3,1
3877,8,9,1
3868,1,0,1
3871,1,1,1
3889,13,7,1
4151,6,0,1
3902,120,33,7
3876,2,2,1
3879,71,54,7
3882,9,6,1
3884,7,2,2
3892,223,198,3
3893,341,42,11
3910,649,28,10
3911,454,49,18
4006,30,230,8
3985,230,30,8
4007,258,31,11
3931,321,100,28
4060,9,29,1
3899,414,198,11
3886,6,3,1
3901,104,33,7
4192,189,0,1
3891,55,36,4
3894,0,1,1
3900,71,18,5
3895,13,9,2
3918,44,60,22
3924,6,4,1
3932,18,10,6
3963,184,195,9
3990,91,97,23
4014,18,16,5
3896,65,42,3
3898,123,2,3
3904,3,3,2
3903,17,7,4
3908,6,0,1
