github_number,additions,deletions,changed_files
13743,87,9,4
14132,65,16,2
13300,2,0,1
13293,221,31,7
15923,180,25,6
15380,130,1,2
15482,120,18,4
15887,102,25,4
15364,104,7,5
1554,189,129,5
13295,18,4,1
14295,538,798,261
14307,5,1,2
14411,535,795,260
14257,5,1,2
14474,647,830,277
14466,798,538,261
14348,53,13,5
14340,53,13,5
14242,277,2,4
14329,53,13,5
14768,1034,598,262
14025,24,25,4
14833,583,830,276
14028,821,544,263
14792,17,1,4
14334,54,13,5
13315,16,1,3
13544,32,20,2
1571,3,1,1
2467,2,4,1
13383,2,0,1
13312,4,2,1
1634,71,71,27
13314,37,2,2
13321,2,0,1
13328,0,2,1
13322,5,6,1
13327,49,13,6
1574,40,5,2
13342,45,35,1
13340,1,4,1
13344,1,1,1
13346,1,0,1
13918,14,2,2
13128,116,11,3
13350,417,80,4
13353,159,12,6
1573,49,5,2
13356,5,1,1
14395,4,1,1
13355,1,9,1
15105,78,3,4
14394,162,4,4
14113,288,20,4
13645,1342,0,12
14709,1,901,5
13617,900,0,4
14806,903,2,5
14710,1,1,1
1579,63,31,5
13318,183,149,3
13379,26,8,2
13380,28,2,2
13392,2,0,1
13399,21,9,1
13501,2,9,1
13373,10,7,2
7699,4,1,2
13995,3222,0,28
13896,19,7,1
13410,72,63,23
13701,21,15,3
13514,27,2,2
13411,4,3,3
13415,2,2,1
13428,2341,29,10
13539,65,81,7
13425,5,0,1
13427,9,4,4
13445,1,1,1
14036,87,66,4
1536,909,283,10
13431,84,13,4
13432,38,1,2
13865,1,0,1
13434,2842,2408,7
14160,65,1,3
13435,10,18,3
14745,13,1,2
13536,112,379,12
13488,293,53,2
13443,195,6,3
13444,27,7,2
13449,18,4,1
13458,3,2,1
13450,2,0,1
13952,5,0,5
13923,10,0,5
14190,1,1,1
14026,20,3,7
13464,16,3,2
13459,8,2,1
13467,1,0,1
13468,14,0,2
1597,31,101,6
1585,5,0,1
1586,100,11,3
13472,42,10,2
13473,71,47,1
13476,52,16,3
13487,8,1,2
121,96,0,2
1727,14,3,1
13486,36,18,3
13485,44,22,6
13592,247,24,3
13618,247,24,3
13496,638,285,8
13832,638,285,8
14033,391,65,5
14499,45,14,5
13636,190,10,7
13499,4,0,1
13498,1,1,1
13684,54,49,3
13502,27,3,3
13678,181,20,4
14030,78,8,9
13503,650,0,7
13683,16,0,1
13518,316,267,16
13999,27,2,4
14625,18,8,2
14800,5,2,2
13504,269,11,11
13620,41,1,1
1588,21,0,3
13505,357,52,9
13535,47,10,2
1640,4,1,1
1659,1,1,1
13517,23,4,5
13524,5,1,1
13641,13,2,2
13519,3,3,1
14101,16,2259,845
1613,103,13,4
15841,217,68,6
13538,152,94,7
13541,67,4,3
1594,0,4,2
13542,355,451,9
13543,217,29,3
13550,3248,405,45
13546,3623,454,56
13548,3498,449,51
13526,8,2,2
1674,59,108,4
13554,327,11,3
13616,330,11,3
13692,12,82,2
1591,1,2,1
13533,84,0,3
13702,31,4,2
13696,0,84,3
13881,66,78,1
13984,34,40,1
2417,308,102,5
2291,38,63,5
15600,10,27,3
13571,194,7,4
13582,194,7,4
13572,2673,107,17
14405,1,0,1
14483,46,4,2
1601,60,24,3
1619,7,1,2
1618,6,0,1
1616,1,1,1
1602,60,24,3
15974,15,9,1
13558,84,27,7
13734,1,1,1
268,532,131,11
2372,114,86,15
277,73,6,2
2106,3,5,1
2023,54,12,1
2030,507,6,8
2042,270,280,18
1511,38,47,9
2000,214,128,15
2065,55,14,5
520,262,94,11
2309,34,8,1
662,506,0,5
1946,730,0,3
2505,2,2,1
1076,1,21,4
2296,165,34,9
2299,2,2,1
2094,172,167,2
2011,175,231,16
3361,420,26,4
3233,478,108,7
3222,292,60,12
2644,5069,2,29
2511,5,5,1
2452,179,179,7
255,14,14,6
2131,20,37,2
77,0,0,0
262,443,164,14
2190,3481,18,13
168,419,457,38
147,104,23,4
217,124,185,16
13916,1,1,1
13589,25,87,1
13605,107,2,2
1609,530,58,14
2404,59,20,6
13652,0,13,3
13600,1,0,1
13597,1,0,1
15075,10,4,1
13599,41,12,11
13609,3,2,1
15612,552,574,210
13601,13,10,2
13718,1022,413,24
13606,138,40,7
13607,147,51,4
13614,5,10,3
13615,10,9,3
13646,63,212,6
13639,108,28,2
13619,99,28,4
1637,92,2,2
1611,92,2,2
1608,71,5,2
13622,77,28,4
13623,3,1,1
13704,54,1,3
13707,5,2,1
14099,2,1,1
13705,11,9,2
13706,29,7,2
13681,15,26,3
13632,1,1,1
13635,226,0,5
1620,78,73,3
13637,140,35,2
13640,16,0,1
13644,110,0,3
13642,179,0,3
13677,1,205,6
13679,1,1,1
13670,205,1,6
13736,19,3,5
13674,1,1,1
1961,1650,2,12
13722,14,1,1
13671,33,73,6
13673,532,510,468
14397,307,73,11
13682,8,1,1
3158,154,2,3
13693,4,0,2
13697,10,23,2
14354,170,2,2
13711,6,8,2
13712,3,1,1
13721,1,3,1
14002,13,11,1
13948,17,12,1
13917,99,98,2
13888,400,394,3
13837,231,231,7
13728,21,25,2
13729,115,4,9
13715,128,15,4
13716,1,1,1
13900,8,2,4
13863,768,530,35
59,3,3,3
1627,47,13,10
1621,17,1,2
13720,4,2,1
14467,35,0,4
14584,228,27,4
14475,185,0,2
13889,986,0,2
13744,5,1,1
13741,32,1,2
13726,131,35,5
13733,9,9,1
13740,14,1,2
13804,27,1,5
14256,12,15,1
13843,204,19,3
13739,104,8,6
13746,2,2,2
13745,38,18,1
13758,52,0,4
13757,14,6,2
13762,48,0,2
13845,48,0,2
14647,33,14,2
14144,10,1,1
14118,0,0,0
14134,13,1,1
13958,4,3,2
1632,6,6,1
13855,1,1,1
13782,86,120,7
13821,365,145,4
13920,1279,0,12
14016,843,69,17
13825,1169,732,33
13773,514,0,8
13953,732,1169,33
13980,539,103,8
2520,1,0,1
13778,19,5,1
13737,1018,4,16
15118,26,9,1
13779,60,14,4
13796,0,1,1
13786,246,80,5
13812,47,14,2
13828,1,0,1
13813,2,2,1
13823,1,0,1
13814,3,13,1
13815,306,240,1
13763,118,32,4
13816,52,2,3
13829,118,32,4
13822,2,2,1
13955,2,2,1
330,12,9,2
355,83,145,6
338,243,125,36
325,316,45,19
241,130,78,45
375,168,4,6
315,165,8,5
13882,53,13,3
13824,53,13,3
13849,1,0,1
13827,2,3,1
13862,288,240,4
13950,3,0,1
13954,3,0,1
13840,7,0,1
13836,7,0,1
14193,4,9,3
13901,49,83,4
13851,56,0,1
13884,49,83,4
13883,56,0,1
13847,12,12,1
13839,231,31,14
14180,163,71,5
14680,68,10,2
14246,1,1,1
13861,15,19,1
13864,2,4,1
13878,111,57,1
13892,52,23,11
13870,2,1,1
13874,4,1,1
13868,4,1,1
13869,4,0,2
14233,59,5,3
13880,1,1,1
14335,19,9,2
13894,1,1,1
14241,148,120,3
13912,50,16,4
14010,4,4,2
14015,22,3,1
13898,59,7,2
14008,4,1,2
14105,16,1,1
14705,2,4,1
15720,202,92,2
15778,105,17,2
15780,120,1,1
16157,96,69,3
15763,171,51,3
15781,44,0,1
14717,467,0,3
1664,640,769,117
13909,7,3,1
14247,1,1,1
1654,121,47,3
13994,1,2,1
14590,23,2,3
14183,21,12,2
13859,200,47,5
14133,46,66,5
13919,9,0,1
13925,0,0,1
14438,367,51,2
13934,516,453,9
